sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,thumb_ext_angle,index_ext_angle,middle_ext_angle,ring_ext_angle,pinky_ext_angle,hand_state
160,6371.49886745201,396.2517257036836,5492.091833602409,22213.3424536398,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
161,6197.222315933981,340.61823375442435,5388.804422474435,22792.342042010077,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
162,6551.631576017329,738.5686920367112,5721.9124700918765,23139.15170897862,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
163,6860.152704733933,959.627444699698,5964.741821854333,22740.17307045139,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
164,6760.754497141183,757.9923579683731,5831.078390011596,22197.517418565443,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
165,6362.692280136619,400.6550193613791,5482.905266631278,22179.92659567912,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
166,6169.036766175838,333.35391680644955,5358.808381415413,22773.2760039897,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
167,6525.390628026799,730.2985465882476,5693.525754633636,23141.833918313256,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
168,6864.019556524701,969.7080814490416,5962.819571831175,22745.984524009767,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
169,6761.760325641671,758.6182068131217,5830.229023722294,22156.926650634607,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
170,6372.504695952499,390.7979000565887,5492.360054535872,22173.511645020444,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
171,6197.55759210081,347.5472745355695,5388.759718985524,22789.391611741976,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
172,6549.150532382791,751.8679799876189,5722.3818567254375,23176.277956518887,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
173,6875.575408408095,988.014160157938,5976.99057781584,22762.100131762047,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
174,6791.778718445149,804.34987596868,5853.743058889278,22171.52233976392,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
175,6392.3083415399005,420.34690622650464,5511.426092556249,22168.750723451463,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
176,6198.60812409021,349.0448414140751,5395.554649299937,22789.682184419893,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
177,6526.91054664976,736.8476077136527,5699.448966914292,23172.83578787277,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
178,6859.54920763364,965.5506569803543,5947.598033857112,22742.005913496723,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
179,6785.67669220885,766.8212970282194,5840.220253493817,22156.18904306758,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
180,6339.938204281117,361.83003924251074,5463.727469888624,22097.42630689458,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
181,6128.066018589261,295.46770995470405,5327.962974067089,22732.238201169755,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
182,6519.780340168517,743.1060961611386,5690.664731343357,23209.000910401453,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
183,6898.687112174883,1020.2230239180356,5990.04399657774,22803.741431682283,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
184,6833.554128832117,822.6336029331211,5897.351312321582,22158.647734957663,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
185,6396.510469497499,402.8678420624545,5515.270592602563,22118.079318771284,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
186,6162.063021905783,308.47642522769274,5340.926985851167,22741.53652686316,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
187,6488.912581075738,701.8447758966417,5659.171123405829,23161.168177267096,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
188,6845.177035948877,953.3913079966676,5941.093676220617,22770.236166743776,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
189,6807.782567475148,774.1750209540154,5861.767335148733,22152.925688377105,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
190,6366.961463327582,368.8484870014772,5490.549563234993,22084.17172243258,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
191,6129.295364534302,310.91276537332124,5340.926985851167,22711.696948015328,0.0,0.0,0.0,0.0,169.63,170.2,171.97,167.58,156.35,Open
192,6493.025302055515,745.8553607291414,5667.4412688542925,23183.45286648904,0.0,0.0,0.0,0.0,169.57,170.42,172.17,167.9,156.98,Open
193,6899.134147063988,1024.91689025365,5977.147040027027,22814.85024867657,0.0,0.0,0.0,0.0,169.57,170.42,172.17,167.9,156.98,Open
194,6849.200349950833,827.7298006689311,5889.528201762224,22151.38341800969,0.0,0.0,0.0,0.0,169.57,170.42,172.17,167.9,156.98,Open
195,6398.052739864915,391.7366733237116,5512.834252456934,22085.982213733463,0.0,0.0,0.0,0.0,169.57,170.42,172.17,167.9,156.98,Open
196,6156.944472425517,299.26750651210625,5353.846294146335,22739.770739051197,0.0,0.0,0.0,0.0,169.57,170.42,172.17,167.9,156.98,Open
197,6482.654092628252,703.7893776642535,5667.97771072122,23190.583072970283,0.0,0.0,0.0,0.0,169.57,170.42,172.17,167.9,156.98,Open
